,2020-02-17
0,芒果不去皮：坐标广西某城市 广西在这次怡情期间管理地还可以 至少我所在的小区和社区都挺好的 小区每次出入都要扫码登记量体温 无小区的居民楼划分片区 只留一到两个通道供居民买生活必需品 有专人把守 我们市已经很多天没有新增病例了 我始终为我的广西骄傲
1,共139条回复
2,人间欢：这次疫情让我见识到了，好的人是真的好，坏的人是真的坏，蠢的人是真蠢。不管怎么样，我们要牢记现在的苦痛，等到了我们这代人，成为社会的中流砥柱的时候，我们要尽可能的去帮助别人。。
3,共26条回复
4,溺毙爱人：广西这次控制的真的非常好 好棒棒棒棒棒棒棒棒
5,共35条回复
6,阿拉脱单：其他省学学广西，尤其江苏浙江广东这些比较富有的省份
7,共139条回复
8,颜值发型：来来来，有奖举报了
9,共8条回复
10,妍妍_1818：评论里个别冷嘲热讽的人怕是不知道隐瞒病情对我们的影响有多大吧？我们的医疗水平以及医护用品都没有，举报有奖不正好可以给国家和社会减少不必要的麻烦嘛？再说了，没有谁想被病毒感染，眼下我们能做的就是团结一致，把病毒隔绝在外。
11,共8条回复
12,会炒土豆丝：广西这次可以的！崇左至今虽然0例！但是也很严格！！
13,共34条回复
14,不够正经的小二：建议全国实行
15,共3条回复
16,刘安娜小提琴的大备胎：广西有奖
17,不忘初心990331：广西
18,共1条回复
19,睡睡平安-：广西很多景点对医护及其家属免费一年 欢迎大家疫情结束来广西玩啊
20,秦楚十堰：广西加油！#十堰加油#💗我们一定胜利！感谢💗#广西支援十堰#
21,奇妙图鉴：可以 能有效的激励人们更快发现疫情 及时处理 给广西点赞 希望全国推广
22,今夕-何兮：不如这个学期作废，直接9月1号开始…
23,共478条回复
24,Barbrara吧啦吧吧吧：可能真的五月一号开学了
25,共437条回复
26,岛上没有书店_：对不起我阅读理解零分，平稳是不再增长还是平稳增长？
27,共100条回复
28,姑苏小杏仁儿：按曲线的走势判断2月底新增接近零点，所以总患者数达到峰值，不过要保卫现有的成果，需要把复工人员大流动继续掐住，到二月底，这对经济意味着什么就不知道了。
29,共35条回复
30,一个不愿意透露姓名的妇女主任：对！他老人家说啥就是啥！
31,共23条回复
32,奶盖·可可：真的准备要喝西北风了
33,共23条回复
34,学习：横睡直睡仰卧睡，一直睡到疫情退， 不求三月下扬州， 但求月底能下楼，但求月底全国能剪头！！。
35,共15条回复
36,-甜桃啵啵茶-：别啊，我想上学我的房子还租着呢
