,2020-02-14
0,每日甜份：愿平安
1,如果明天就立夏：请问事故原因？
2,娱乐音乐追综：内容很精彩！
3,共1条回复
4,隔壁老王和老李相拥着到达战场：万幸没有砸到头。
5,可可超人在线：这要是砸到头可不得了
6,boyskanmn：#社区书记防疫巡逻时被砖头砸伤#嗯，我尝试梳理一下，大家帮忙指正应该怎么理解，社区书记在不知道是谁管理的社区中巡逻，被建筑物砖块砸中，我觉得是这砖块不好，偏偏要砸人，还要砸社区书记。
7,共2条回复
8,A-放飞心情lovely：高空抛物？抓起来严惩，这要是砸到头了，命就没了。万幸！
9,黑色白大褂：是实在没什么可报道的了吗？
10,共1条回复
11,D-酷的没边儿：愿平安一定要平安！！
12,莫急莫急1：这个算不算工伤
13,林深丫吖：辛苦了
14,放飞梦想932_141：平安就好！
15,慢吞吞无言：太危险了！祝平安！🙏
16,过客nina-lopez的世界很快乐：🙏🙏🙏
17,不够优秀的lala：支持！希望不会有人破坏这个规矩
18,共1条回复
19,荷锄菜农：好做法。我们这里是反其道，关掉街边店，集中去大超市。
20,咸司康：总好过在人员密集的室内菜市场
21,颜值发型：没人来捣乱就是好事
22,战狼雪月：然而其他地方的卖菜的居然被恐吓，暴打。
23,共1条回复
24,朝阳群众妇女之友：城管呢？咋不取缔路边摊呢，现在就不影响市容吗？
25,共2条回复
26,炒鸡爱吃桃儿的鱼：农村集市也是露天，但是取消了
27,你好歹不用：赶集，乡下赶集就这样的
28,米汤更有营养：乡下赶集都关了
29,还在想一个有趣的名称：天啊，草莓好大！我这刚通网吗
30,伱是我的整个青春：这草莓怎么那么大，我牙不行啊
31,水墨婉江南：城管来了
32,在西藏的浙江人：停车场经济
33,杨瑞小绵羊：人太多，现在有密集恐惧症
34,是小毛睿：买那么多鸡蛋的大哥也不给别人留点！
35,与孙先生异地恋的倒数呀：搬好小板凳了
36,白菜不是菜FMVP：没声音？
37,飞来飞去2012：
38,我叫Cc怎么不行了：如果去了医院检查说不是新冠，但是会不会误诊？
39,飞来飞去2012：对啊，说重点吧
40,周怸倫：@允儿我女朋友：金溪镇的政府工作人员将黄山村内的狗全部活活打死，但国家卫健委、世界卫生组织、钟南山院士已多次辟谣，没有证据显示猫狗会感染人群，现投诉永嘉县政府和金溪镇政府制造社会恐慌，要求对扑杀家禽和宠物的工作人员予以严肃处理，并停止扑杀
41,Millionbells：记得四川8633也有个外国机长帮忙呼叫 中国是不是有很多外国机长
42,共1条回复
43,AllenJ处于饥饿中：好样的
44,共1条回复
45,weiwei990609：好样的老外机长，我们都是命运共同体下的一家人
46,qbl090909：谢谢！
47,我的宝贝去了天堂：这人间都是爱
48,黑森林布朗尼我要我的巧克力：谢谢(*°∀°)=3
49,永远的天秤-Grace：谢谢
50,期待绽开灿烂微笑的努力苏：谢谢，辛苦了
51,me99doo：总有善良的人
52,远帆之：谢谢！
53,暮吉柯柯：全世界人民团结起来
54,邹曳不爱喝橙汁：感谢🙏🙏
55,xdseugjlbmbjchxddsesfdgcvhffxg：谢谢他！！
56,落叶应在故里：
57,酒碗里疯鹏正举：这是一条我不知道该怎么评论的微博
58,共3条回复
59,睡醒了就困：我想知道万一家里着火了怎么跑出去
60,共24条回复
61,爱喝百事的小可乐丶：过度就属于刷白吃了
62,共27条回复
63,中二少年xi：这......我咋觉得有点不太好
64,共1条回复
65,D馨怡儿：有利有弊吧…万一有什么意外发生，出去也是个问题吧
66,共9条回复
67,与孙先生异地恋的倒数呀：村支书硬核
68,共4条回复
69,_乖妈_：他坚持外出打工的时候，肯定知道村里是严格要求的，既然还走出去，就应该承担后果。
70,共1条回复
71,金主哥：这个村支书还是比较负责的
72,共1条回复
73,西北8汉子：没有人情的做法
74,共3条回复
75,广东第一名鸭：。。。火灾来了怎么办
76,共3条回复
77,lovage_0212：这就过了！
78,一个经济系同学：呃。。。感觉过了[費解]
79,迷失的准星44133819241：农村，好事坏事都一样简单粗暴，与法无关
80,共1条回复
81,嘿继续努力：湖南中西医结合，治愈率全国前几名
82,回忆专田老马甲：真正的中医确实值得提倡
83,空港0120：有了中医药介入，希望患者不管是心理还是身体都能够逐渐好转
84,君不见钱眼开：总觉得中医比较可靠！
85,资深狠角色：中医威武
86,七瓣大蒜：好消息 希望病毒不要再扩散了 加油
