,2020-01-27
0,小孩纸上谈兵：湖北的居然还特么能满世界跑，，，，
1,匆匆nie年：为什么越来越多骂湖北 骂武汉人了 原因知道了，自己作死还要连累别人
2,ENJOY超pang：不骂根本不知道大家多愤怒
3,檷疐嶌黟啗叓嵦匶乨灍咇：就算把这些祸害关起来让他们自生自灭都不为过了。
4,搞笑幽默热门段子：如果，这次疫情放过了人类，今后，也请人类放过那些动物们。 有因必有果！万物皆有灵！请善待所有的生命，爱护自然，敬畏天地，敬畏生命！
5,tripleganger：复制尼玛
6,搞笑幽默热门段子：只要不吃野味哪里来的这么多麻烦事
7,共8条回复
8,北城夏屿：别乱跑了吧
9,风清日月明十里桃花开：出去的湖北人当时都觉得自己没病，结果病毒都是它们扩散出去的
10,香草青衣：潜伏期9到14天8天没反应很正常
11,共5条回复
12,卓然天翼：做梦也想不到吧，本来想去温暖如春的海南，结果被送到冰天雪地的哈尔滨隔离14天御寒的衣服都没有带全吧
13,永远的鸵鸟：人家有暖气
14,襄言：有，有暖气吧应该…
15,共14条回复
16,我家的猫咪叫sissi：真心替那44名哈尔滨旅客感到委屈。就因为别人的不配合，他们也只能来个海口机场一日游，飞过去又在飞回来
17,极乐有明：还要一起被隔离14天
18,静晶耶：回复@-董静璇:都隔离。   只是哈尔滨的在家。  湖北的在酒店
19,共5条回复
20,菇凉你别走QAQ：同机的哈尔滨人真倒霉…
21,暖兔砸的路宝是个小可爱OwO：不愿意隔离就不隔离？？？回来让一堆人陪着你隔离？？？真的是坏透了自私透了
22,沐团子不黏：44名哈尔滨的人做错了什么
23,要什么昵称啊你说：错在没有退票老实在家待着
24,喜总：严阵以待，保卫哈尔滨
25,Anna30：本来还挺同情他们的，看看这所作所为真是遭人恨
26,-打工人：25日？
27,飞鱼V2019：不是23日不许出武汉了吗？怎么25日？呜呜呜呜
28,静听那个松风：Reply @飞鱼V2019:不是武汉，是襄阳啊
29,尼奇窝窝：理解，特殊时期特殊处理
30,Enson-Kwok：这专家满腔官话，避而不答
31,你那柔软的双唇：这个确实不好回答，问题本身就是伪命题。
32,南城别：这专家说了半天等于没说一样！
33,共2条回复
34,曹晩晴：#余甜#  闲着也是闲着，不如大家复制粘贴，加油，让我们送余甜“c位出道”，走上热一！！！
35,拿不到血汗钱的农民工：三天当于木有延长
36,发声不同憨批就会怼你：最好观察一个月。
37,儇嫣懿：这位砖家说了和没说一样，都是打的官腔，浪费时间看。关于后遗症的问题也没有问
38,宝宝V型的：我感觉应该隔离观察，钟南山院士说过，这场病毒最少六个月才能消除。。
39,撩妹小嫖客：真的假的？
40,syhiii_691：参考sars，除非研发出特效药，不然只有等天热了
41,共4条回复
42,没有潜水证的鱼：春节延长3天有什么用
43,悠然自得lym：我以为能看见钟院士
44,TenderOnly：这专家在回答什么啊？说了跟没说一个样
45,打领带的悟空：口罩都买不到了
46,呼啦又一圈：大家一定要去搜余甜  热搜一直被恶意压下去  余甜华南集团法人 旗下华南海鲜市场非法交易野生动物继而引发新型病毒 ！把余甜的背景挖出来，这么显眼的地理位置，为什么一直遭受民众举报还能屹立不倒？？？#余甜# （复制）
47,刘朝臣777：希望假期延长至正月十五，从春运开始到十五正好是病毒携带者和感染者爆发期，个别必要单位，公务员正常上班维持国家运转，其他人避免交叉感染造成大规模感染！
