,2020-01-31
0,泰国网：#泰国正能量# 泰国拳王鼓励中国人民，中国加油，武汉加油！
1,王老爷在普吉岛做泰国菜：转发微博
2,戈壁北街：谢谢
3,BieSukrit_su：谢谢
4,泼皮破落户兒-：他一直都特别正能量
5,应佳佳jia：ขอบคุณ
6,双鱼包包ck：谢谢
7,520木木夕宝：谢谢。
8,疑似CEO：谢谢
9,要武39362：感谢你🙏
10,abeil：非常感谢！
11,易三仓大学JohnAn：泰国拳王播求为武汉加油 ❤️中国加油❤️ #中国加油# #武汉加油# #播求#
12,恋爱交友：我不懂为什么捐赠那么多，每天口罩防护服几十万几十万的捐，还是很多医院说物资不足，那捐的物资到底上哪里去了？？物资到底在谁的手中发放？？一个医院拿到的物资就几百几千个？？严重建议捐赠物资的车直接一车一车拉到医院门口去，由医院负责人直接拿走，不要再由他人经手
13,竹财辉之助啊：用的快，一个医生一天要换好几个口罩和防护服...
14,共2条回复
15,晗桐爸爸：买不到口罩，不是不想戴
16,宝宝豆豆丶：人性就是这样，刚出来的时候恐慌，害怕！过了一段时间，身边人没事，网上宣传少了，人又慢慢都聚集了
17,颜值发型：哈哈哈哈哈哈，这么硬核的嘛
18,鱼籽焦妮：不要再吃了……
19,本宝宝要赵医生亲亲才起来：买不到口罩，又必须出门，怎么办？家里连橘子皮柚子皮都没有
20,铁路网：新技术抗击疫情
21,杨毅599：无人机？续航能到一小时不？我的大疆炸鸡之后虽然免费换新但都不敢玩了。怕就是为了拍视频吧！
22,竹财辉之助啊：无人机续航都不怎么样吧，我的大疆不行啊...
23,杨毅599：回复@等劳斯的莱斯:对呀，所以这个视频～呵呵
24,共5条回复
25,平静智仁：越来越现代化了，交警坐在室内就可以指挥交通了。
26,Loyce_K：视频最后，运营的是乔丹？
27,丁小丁1416：杭州口罩买不到，不知道哪里买了
28,CC可念不可說：买不到
29,也许东京真的很热：暂时没有确诊了不起啊！
30,璘公子_4th：小姐姐声音好听
31,四斤番茄：转发微博
