,2020-02-04
0,花式退堂鼓一级表演艺术家：把镜头都吓远了吗？解释完了又切近了
1,LouisErard：这个咳嗽的姿势超级标准，教科书一般
2,骂尽一切不平事：此人到过疫区，建议隔离起来。
3,几杯明月：别慌，问题不大
4,念橘心切：这一声咳嗽，场内气氛突然变得诡异
5,nayoungxi：正确的咳嗽示范，用手肘
6,20多还没有性生活：印度英语？
7,大意失荆州333：身为世卫组织总干事是时候去武汉和湖北各地探访一下了，然后呼吁各国支援中国，为疫情早日恢复做出努力。
8,是秦晗尹呀：我真是服了 人家想尽办法帮着我们国家 评论里那么一群人怎么就盼不得别人好呢 世界卫生组织要真病了 对你们有什么好处 真是一群吃瓜群众不嫌事大的
9,赞赞的西子大人：这求生欲。。。
10,Brilliant-韩先森：有点可爱
11,泉拓人0505：这一咳嗽下面的人都害怕，有时吞咽口水都会呛着咳嗽，不得不解释一下，不过咳嗽还是不要对着人咳嗽，没病人家也会不爽
12,悠铀：万一是呢？
13,温七安：幸好不是，不然来个团灭就完了
14,锅里的蹄子在泡澡：好可爱哈哈哈
15,GS_顾昔：别担心！我最近没去过武汉！
16,阿贵时评：咳的令旁边的那谁有点小紧张
17,仓鼠的日记本：报告，右边有位女士偷偷睡觉
18,赫东2010：“传染病这事儿是这样的，100个人里面80个人严防死守，18个人无所谓，2个人到处作，这2个人就会通过18个人让80个人努力白费。”
19,六月拖延症：Solidarity solidarity solidarity!其实我蛮欣赏他的
20,诸若土土：玄学和封建迷信是两回事，瘟疫肺炎肯定是有一个源头，就是肺，庚子正月流月的疾厄星象属金，顾名思义肯定源于金，对应人体就是肺，在正月很难消退，大家加油！
21,你一生的故事8：哈哈哈哈哈哈，吓我一跳
22,人造阑尾：来过中国，我觉得应该隔离检查
23,小李子哇哈哈：这伙计三观正，要多支持
24,讲不出再见HJ驹：笑笑 有被谢到
25,伊伊北北：【他表示“战胜疫情的唯一途径是所有国家团结合作”】
26,看着我的眼睛就知道：如果世卫被一窝端，那说明人类有劫难了，象征卫生安全的总部都被团灭了
27,飞翔的大白菜020：这次疫情已经被列为“国际关注的突发公共卫生事件”（PHEIC），很严重了
28,你想把温柔赋予谁：你别那么自信
29,七瓣大蒜：哈哈 一咳周围人都吓死了
30,姬无力多锻炼：
31,寂寂明月心：
32,F大文盲：也许是美国流感呢，还是隔离一下好
33,若风198411：: 古人偶然发现夕非常害怕红色和大声响，所以村民想到一个好方法，以后这一天家家户户贴春联，还要放鞭炮，这样就可以把它吓走，这个方法果然奏效了，夕被村民驱逐，人们过了太平年。因为除掉了夕兽，所以这一天又被叫做除夕！现在国家禁止放鞭炮和贴春联，所以今年（夕兽）出来了，千年传统！毁于今朝
34,韩茹Anruh：@girararaffe @Christina_小思思 笑死了
35,-Wsahntdknh：
36,l逢o涼v壄e性you：哈哈，挺可爱的
37,SmileTok：在座的一下就清醒了
38,等待合适的你的出现：葵花牌口服液，了解一下
39,红领巾sl：戴口罩
