,2020-03-20
0,Cynthia萝卜：的确是的，先要看情况，确诊之后集中治疗才是正确的，不是说我怕被感染或者已经被感染溜回国一次就万事大吉的，大家的心态是要对抗疾病，并不是找避难所
1,Wuwoho：且不说美国的费用有多少，美国人自己都顾头不顾腚的能管中国人？外国人在中国占用医疗资源我们不愿意，美国人就愿意给中国人治？他们现在当然需要自行在当地隔离轻易不要回国，但除了病毒还有种族主义者虎视眈眈，提前备好物资的留学生都要把房门拿桌椅堵死怕被冲抢，他们为什么不能寻求避难所
2,埃尔若狐狸：首先，作为一个普通人来说，如果你感觉自己病了，该去医院还是机场?这是一个道德问题。
3,共110条回复
4,布络格的天空：留学生们可以回来，那些改了国籍，不爱国的香蕉人就算了
5,爱国的胖小芸：确诊了还回来，考虑过同机的人么？
6,陆离_哥哥：怎么回阿，专机去接？世界各地几百万中国人呢！放到哪里治疗？？保护好自己最关键。正常的回国都很难，别说感染的人。主要是基数太大了，千百个人还好，几百万分布世界各地很少的感染国内没能力吃不下
7,共35条回复
8,白开水6622：明知道感染再回国？跟您同机的人怎么办？做人不能太自私啊
9,抬头一望2020：大使馆有医生可以帮忙治吗？
10,青青草907：说的是啊，考虑过这一路上的人么
11,共31条回复
12,第几次飞升：都感染了还想回国？路上的人怎么办？
13,kong199906kk：你问政府怎么办！大使馆打电话一问三不知
14,共8条回复
15,万年梦断：这话没错呀，感染之后如果体能跟不上，吃了退烧药挺回来很容易加重病情的。随意留学生或者其他人员如果想回来一定是健康时做好计划赶紧回，一旦感染再回来一来延误病情，二来有可能加重病情，三还可能触犯国内的法律。
16,改了这个名字一年都不能再改了：还会传染整辆飞机里的人
17,共4条回复
18,椰丝嘿嘿嘿：这个肯定要问专业人士
19,天空20269：能去发达国家留学非富即贵，肯定会想尽办法周全自己，不惜重金买几十万一张的机票
20,钟爱甜哇：回复@天空20269:有公费留学啊
21,共10条回复
22,喵斯特·修利尔：能回的才回啊，一路上这那那这的，人都吃不消，而且还会传染。。。
23,olovecc：与其坐等输入越来越多，不如先把愿意回来留学生撤回来，等到国外大流行，留学生大规模染病，输入病例会更多，现在就去排雷，比等雷爆了再撤要好，越晚撤感染人数越多，越早越好！新加坡都要求两万海外留学生两周内返回！不能再拖了，接回来各省自己隔离，回来费用自理就是了，航空公司最近也缺业绩！
24,捡瓶最凶的娃儿：头一遭听说美国引以为傲的国度，居然不管不顾其他国籍滞留的人，公知们所吹捧，侃侃而谈的国家也不怎么嘛
25,伐木丁丁先生：你这个角度看，够清奇
26,zetor_ZZ：反正中国做什么都是错，不关国门让那些海外同胞回国，他说凭什么要自费隔离，我们这些在家关了两个月去其他省务工也是要自费隔离好嘛？假如有天国家关闭国门，又会说你们最难的时候是谁捐款捐物！现在就不管死活，没人性！国外的体制好、医疗好、教育好，连空气都是甜的，你回来干吗？吃完饭就骂娘吗？
27,共12条回复
28,丹东的味道：就说能不能回国治疗吧！自己国家的孩子，想回来应该让回来
29,暖心小柠檬：是啊，家都回不了太可怜了，遵守国家的规章要求就行了，不给其他人添乱。
30,燕儿柳梢：别拉上国家，国家送他去留学的还可以考虑！
31,共16条回复
32,要养橘猫：我就是留学生，这个问题我纠结很久了。万一我被感染了，我就算是轻症，按国外这种轻症就自我隔离的办法，要是能自愈好转就罢了，要是轻症被拖到重症是最可怕的结果。重症的人回国不现实，又担心作为外国人在国外得不到重视，
33,要养橘猫：钱是一回事，关键是从检测到治疗的过程都会是很无助的，现在国外的抗疫措施槽点满满让人无法信任，害怕自己一个人死在国外。可是我要是趁轻症时候回国，良心不安，怕传染一飞机。真的很难，只能尽力让自己别感染，我现在去超市都很提心吊胆，一个人在外面遇到这种事的焦虑程度是在国内的好几倍。
34,玖命貓妖：减少不必要的外出和社交是最重要的，预防总比治疗要容易～
35,共14条回复
36,开心的一塌糊涂：医生让你回你就回
37,司药娘子：大使说的是听取医生的意见，判断病人的病情体能允不允许长途飞行。怎么就成踢皮球了？带节奏🦐哔哔者，滚！
38,漂泊的云gxra：政府把球踢給醫生，醫生肯定又會把球還給政府。
39,共6条回复
40,产业聚焦：言下之意……
41,忘记真是好难：就是回国要三思再下决定，现在的航班是比较危险的，有些回来的被确诊，有些潜伏期回来，有些本身没有，但在飞机上被传染上。
