,2020-03-15
0,诺式媒女：除了自费，需要判刑吧太自私了
1,茉茗DAYTOY：治疗费用自费吧，另外必须追责，必须严惩！
2,Mommytofcc：这些人，太自私了！
3,3min·19s：登机前吃退烧药最高可判七年
4,画心画行：她在美国就己经确症了，违反美国的隔离要求，期骗机场核查人员一路撤谎，太过分了。
5,与君共浮一大白：最怕这种自私自利的人，不把别人的生命安全放在眼里！建议从重处罚！
6,人间风物皆有灵性：无耻 希望追责
7,皮皮皮专用号儿：赔钱＋坐牢，一个都不能少
8,揜骨条女唔正就濑嘢了：这都是些什么人啊
9,咸鸭蛋7690：这种慕洋犬，就要打死
10,早熟又晚熟：@平安北京 立案了吗？
11,马蹄南去：不判刑对不起北京人民和飞机上的乘客以及空乘人员
12,_冰冻咖啡：那个不是说美国空气都是甜的留学生 杨舒平呢 要准备逃回来了！？
13,极暗至光：既然还是中国国籍就可以立案，治好以后，直接抓。
14,李炎宁：坚持最后一下子
15,NancyYann：寒假怕是要跟暑假连起来了吗
16,我要蔚蓝天空：什么时候能结束啊？武汉快点儿好起来吧！
17,magiccm：麻烦了
18,白泽四方：嗯
19,洗个痛快zhao儿：猪：有些人还不如我们懂事……
20,心凝伊人：猪都知道自觉隔离
21,__他和她__：猪不止坚强，还懂事
22,共4条回复
23,momo戴花中毒成患者：如果这样猪肉就能降价，我就表示一下支持
24,狐狸和那朵花：坐标宜宾，五花肉33一斤
25,大地之刃：坐标呼和浩特，五花肉29元每斤
26,共12条回复
27,雷叔de微博：猪，没想到还有这种待遇
28,wo想吃奶酪：引进的是种猪啊，以后生下来来的就是中法混血猪了
29,我在月圆之夜推算出来的名字：猪肉降价就靠你们了
30,啵啵小桃仔：进来看封面粉红色猪猪的只有我嘛？好可爱哇😂😂😂xswl
31,ryanyhan：严防境外输入🐷 🐷
32,热爱学习的Luby：猪都坐过飞机，我却没有
33,启凡77：机会多的是，别急
34,夜晚最亮的小星星：现在有很多低价票，你可以去试试
35,Kevin_991：不从俄罗斯引进种猪吗？
36,共1条回复
37,xxxxxjjy：我还不如猪系列
38,西伯利亚的大兔子：过来疯狂扫射
39,哥哥微笑有酒窝：昂商贷
40,jjh2068：人还没有出过国呢，还不如猪呢
41,娱乐音乐追综：来了
42,山风大人123：@水水水藻啊 甚好
43,老王爷儿：支持费用自理，如果瞒报是不是要罚钱➕坐牢！那就不要客气
44,共5条回复
45,冰城情歌王子：全国推广！
46,共4条回复
47,懒柚子邢邢：上海也要行动起来
48,共7条回复
49,和陆小曼一样：早就该这样了，总有些人这种时候满世界溜达。你自己得病死了没人说你，你祸害别人就是你的不对了
50,黄金博士：费用自理，理当如此
51,zhuangdz：好，支持全国通过！！想回来可以隔离治疗费用自己掏！
52,信仰很乱套：漂亮！
53,米汤更有营养：全国推广，所有入境都隔离14天，严防输入，目前全球这情况是一场持久战！
54,_等下一场烟花：对于回国的同胞，我们不要一棍子打死，怨声载道的。都是中国人我们欢迎中国人回家，一个多月前最困难的时候，很多海外同胞都无私援助我们。我们都应该记住。归国同胞注意遵守秩序，服从命令听指挥。曙光在前头！
55,共5条回复
56,789mkv：支持，早该这么干了
57,萧晗风：早该如此，人民信任是有限的。国内已经坚持了这么长时间。不要让我们信任努力白费
58,Mc苗：终于走在正确的路上了
59,zhuangdz：隔离就不管你瞒报不瞒报了！
